# Kerning | Font: Centenary-Regular | zones=9 supersample=10 smooth=40% round=1 mingap=1/2
# Basiswert LC (n+n): Ø342.6  |  Basiswert UC (O+O): Ø515.1
# Format: LinkerBuchstabe;RechterBuchstabe;Korrekturwert (LC/UC z<i>:Zonenwert,...)
# Korrektur = round(Basiswert - PaarDurchschnitt) | Negativ=enger, Positiv=weiter
.notdef;.notdef;-133 (LC z0:476,z1:476,z2:476,z3:476,z4:476,z5:476,z6:476,z7:476,z8:476)
.notdef;A;-101 (mixed→LC z2:272,z3:376.9,z4:481.8,z5:586.7,z6:691.6,z7:796.5,z8:893.9) [cap:min=272→171.3]
.notdef;Aacute;-101 (mixed→LC z2:272,z3:376.9,z4:481.8,z5:586.7,z6:691.6,z7:796.5,z8:893.9) [cap:min=272→171.3]
.notdef;Acircumflex;-101 (mixed→LC z2:272,z3:376.9,z4:481.8,z5:586.7,z6:691.6,z7:796.5,z8:893.9) [cap:min=272→171.3]
.notdef;Adieresis;-101 (mixed→LC z2:272,z3:376.9,z4:481.8,z5:586.7,z6:691.6,z7:796.5,z8:893.9) [cap:min=272→171.3]
.notdef;Agrave;-101 (mixed→LC z2:272,z3:376.9,z4:481.8,z5:586.7,z6:691.6,z7:796.5,z8:893.9) [cap:min=272→171.3]
.notdef;Atilde;-101 (mixed→LC z2:272,z3:376.9,z4:481.8,z5:586.7,z6:691.6,z7:796.5,z8:893.9) [cap:min=272→171.3]
.notdef;B;-113 (mixed→LC z2:466.6,z3:442.2,z4:497.4,z5:501.6,z6:499.4,z7:443.9,z8:339)
.notdef;C;-143 (mixed→LC z2:608.9,z3:504,z4:399.1,z5:368.8,z6:401.7,z7:506.6,z8:611.5)
.notdef;Ccedilla;-172 (mixed→LC z1:713.6,z2:608.7,z3:503.8,z4:398.9,z5:368.8,z6:401.7,z7:506.6,z8:611.5)
.notdef;D;-118 (mixed→LC z2:443.1,z3:452.3,z4:499.8,z5:498.6,z6:496.5,z7:468.7,z8:363.8)
.notdef;E;-57 (mixed→LC z2:228,z3:332.9,z4:437.8,z5:500.9,z6:499.9,z7:495.8,z8:332.8) [cap:min=228→171.3]
.notdef;Eacute;-57 (mixed→LC z2:228,z3:332.9,z4:437.8,z5:500.9,z6:499.9,z7:495.8,z8:332.8) [cap:min=228→171.3]
.notdef;Ecircumflex;-57 (mixed→LC z2:228,z3:332.9,z4:437.8,z5:500.9,z6:499.9,z7:495.8,z8:332.8) [cap:min=228→171.3]
.notdef;Edieresis;-57 (mixed→LC z2:228,z3:332.9,z4:437.8,z5:500.9,z6:499.9,z7:495.8,z8:332.8) [cap:min=228→171.3]
.notdef;Egrave;-57 (mixed→LC z2:228,z3:332.9,z4:437.8,z5:500.9,z6:499.9,z7:495.8,z8:332.8) [cap:min=228→171.3]
.notdef;F;-82 (mixed→LC z2:277,z3:381.9,z4:486.8,z5:500.6,z6:499.8,z7:492.8,z8:332.4)
.notdef;G;-145 (mixed→LC z2:617.1,z3:512.2,z4:407.3,z5:368.9,z6:398.4,z7:503.3,z8:608.2)
.notdef;H;-92 (mixed→LC z2:281,z3:385.9,z4:490.8,z5:503.3,z6:506.3,z7:503.3,z8:368.1)
.notdef;I;-89 (mixed→LC z2:277,z3:381.9,z4:486.8,z5:503.3,z6:506.3,z7:503.2,z8:365)
.notdef;Icircumflex;-89 (mixed→LC z2:277,z3:381.9,z4:486.8,z5:503.3,z6:506.3,z7:503.2,z8:365)
.notdef;Idieresis;-89 (mixed→LC z2:277,z3:381.9,z4:486.8,z5:503.3,z6:506.3,z7:503.2,z8:365)
