# Kerning | Font: Vergil-Regular | zones=9 supersample=10 smooth=40% round=1 mingap=1/2
# Basiswert LC (n+n): Ø299.9  |  Basiswert UC (O+O): Ø456.8
# Format: LinkerBuchstabe;RechterBuchstabe;Korrekturwert (LC/UC z<i>:Zonenwert,...)
# Korrektur = round(Basiswert - PaarDurchschnitt) | Negativ=enger, Positiv=weiter
.notdef;.notdef;-147 (LC z0:447,z1:447,z2:447,z3:447,z4:447,z5:447,z6:447,z7:447,z8:447)
.notdef;A;-152 (mixed→LC z2:301.8,z3:410.2,z4:518.6,z5:627,z6:735.4,z7:843.8) [cap:min=301.8→149.9]
.notdef;B;-100 (mixed→LC z2:291.9,z3:400.3,z4:453,z5:453,z6:453,z7:347.7)
.notdef;C;-150 (mixed→LC z2:572.8,z3:464.4,z4:356.8,z5:345.9,z6:424,z7:532.4)
.notdef;D;-102 (mixed→LC z2:297.5,z3:405.9,z4:453,z5:453,z6:453,z7:347.7)
.notdef;E;-99 (mixed→LC z2:291.9,z3:400.3,z4:453,z5:453,z6:453,z7:343.9)
.notdef;F;-101 (mixed→LC z2:297.5,z3:405.9,z4:453,z5:453,z6:453,z7:343.9)
.notdef;G;-150 (mixed→LC z2:572.8,z3:464.4,z4:356.8,z5:345.9,z6:424,z7:532.4)
.notdef;H;-102 (mixed→LC z2:297.5,z3:405.9,z4:453,z5:453,z6:453,z7:347.7)
.notdef;I;-102 (mixed→LC z2:297.5,z3:405.9,z4:453,z5:453,z6:453,z7:347.7)
.notdef;J;32 (mixed→LC z0:118.1,z1:226.5,z2:334.9,z3:443.3,z4:453,z5:453,z6:453,z7:347.7) [cap:min=118.1→149.9]
.notdef;K;-102 (mixed→LC z2:297.5,z3:405.9,z4:453,z5:453,z6:453,z7:347.7)
.notdef;L;-102 (mixed→LC z2:297.5,z3:405.9,z4:453,z5:453,z6:453,z7:347.7)
.notdef;M;-125 (mixed→LC z2:318.3,z3:426.7,z4:462.6,z5:473.9,z6:485.2,z7:381.6)
.notdef;N;-114 (mixed→LC z2:328.8,z3:437.2,z4:458,z5:458,z6:458,z7:345.9)
.notdef;O;-149 (mixed→LC z2:571,z3:462.6,z4:356.1,z5:346.3,z6:425.6,z7:534)
.notdef;P;-114 (mixed→LC z2:325,z3:433.4,z4:453,z5:453,z6:453,z7:366.6)
.notdef;Q;-196 (mixed→LC z0:787,z1:678.6,z2:570.2,z3:461.8,z4:356.2,z5:346.3,z6:425.6,z7:534) [cap:min=346.3→149.9]
